Elastic search variable,Source variable name,ES variable type,Category,Description
fb_x-funnelback-charset,(Added via filters),keyword,Funnelback-generated Header metadata,The detected character set
fb_x-funnelback-content-length,(Added via filters),integer,Funnelback-generated Header metadata,The size of the document in bytes
fb_x-funnelback-filtered-content-type,(Added via filters),keyword,Funnelback-generated Header metadata,
fb_x-funnelback-total-request-time-band-ms,(Added via filters),keyword,Funnelback-generated Header metadata,The observed response time band (in ms) when the URL was fetched. Note: does not include linked resources.
fb_x-funnelback-total-request-time-ms,(Added via filters),integer,Funnelback-generated Header metadata,The observed response time (in ms) when the URL was fetched. Note: does not include linked resources.
aa_x-funnelback-aa-checked,(Added via filters),integer,Accessibility check,Indicates if the document is affected by any accessibility issues
aa_x-funnelback-aa-domain,(Added via filters),text,Accessibility check,The domain that the page belongs to
aa_x-funnelback-aa-explicit-failedlevels,(Added via filters),keyword,Accessibility check,
aa_x-funnelback-aa-failed-occurrences-on-techniques,(Added via filters),integer,Accessibility check,Total number of failing techniques marked as FAILED
aa_x-funnelback-aa-format,(Added via filters),keyword,Accessibility check,The detected format of the document
aa_x-funnelback-aa-is-affected,(Added via filters),integer,Accessibility check,
aa_x-funnelback-aa-occurrences-of-failing-success-criteria,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (all levels)
aa_x-funnelback-aa-occurrences-of-failing-success-criteria-by-level-a,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (A)
aa_x-funnelback-aa-occurrences-of-failing-success-criteria-by-level-aa,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (AA
aa_x-funnelback-aa-occurrences-of-failing-success-criteria-by-level-aaa,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (AAA)
aa_x-funnelback-aa-occurrences-of-failing-success-criterion-1_1_1,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (1.1.1)
aa_x-funnelback-aa-occurrences-of-failing-success-criterion-1_2_1,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (1.2.1)
aa_x-funnelback-aa-occurrences-of-failing-success-criterion-1_2_2,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (1.2.2)
aa_x-funnelback-aa-occurrences-of-failing-success-criterion-1_2_3,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (1.2.3)
aa_x-funnelback-aa-occurrences-of-failing-success-criterion-1_2_4,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (1.2.4)
aa_x-funnelback-aa-occurrences-of-failing-success-criterion-1_2_5,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (1.2.5)
aa_x-funnelback-aa-occurrences-of-failing-success-criterion-1_2_6,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (1.2.6)
aa_x-funnelback-aa-occurrences-of-failing-success-criterion-1_2_7,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (1.2.7)
aa_x-funnelback-aa-occurrences-of-failing-success-criterion-1_2_8,(Added via filters),integer,Accessibility check,Occurrences of failing success criteria (1.2.8)
