Elastic search variable,Source variable name,ES variable type,Category,Description
h_cache-control,,text,HTTP Header,
h_transfer-encoding,,text,HTTP Header,
h_connection,,text,HTTP Header,
h_accept-ranges,,text,HTTP Header,
h_etag,,text,HTTP Header,
h_link,,text,HTTP Header,
h_p3p,,text,HTTP Header,
h_strict-transport-security,,text,HTTP Header,
h_vary,,text,HTTP Header,
h_x-age,,text,HTTP Header,
h_x-ah-environment,,text,HTTP Header,
h_x-content-type-options,,text,HTTP Header,
h_x-drupal-cache,,text,HTTP Header,
h_x-frame-options,,text,HTTP Header,
h_x-generator,,text,HTTP Header,
h_x-request-id,,text,HTTP Header,
h_x-ui-compatible,,text,HTTP Header,
h_x-varnish,,text,HTTP Header,
h_x-powered-by,,text,HTTP Header,
h_x-ua-compatible,,text,HTTP Header,"Use the following value to display the webpage in edge mode, which is the highest standards mode supported by Internet Explorer, from Internet Explorer 6 through IE11. http://msdn.microsoft.com/en-us/library/jj676915(v=vs.85).aspx"
