Elastic search variable,Source variable name,ES variable type,Category,Description
m_agls_audience,"<meta name=""agls.audience"">",text,AGLS metadata,
m_agls_availability,"<meta name=""agls.availability"">",text,AGLS metadata,
m_agls_creator,"<meta name=""agls.creator"">",text,AGLS metadata,
m_agls_date,"<meta name=""agls.date"">",text,AGLS metadata,
m_agls_function,"<meta name=""agls.function"">",text,AGLS metadata,
m_agls_mandate,"<meta name=""agls.mandate"">",text,AGLS metadata,
m_agls_mandate_act,"<meta name=""agls.mandate.act"">",text,AGLS metadata,
m_aglsterms_accessibility,"<meta name=""AGLSTERMS.accessibility"">",text,AGLS metadata,
m_aglsterms_aggregationlevel,"<meta name=""AGLSTERMS.aggregationLevel"">",text,AGLS metadata,
m_aglsterms_audience,"<meta name=""AGLSTERMS.audience"">",text,AGLS metadata,
m_aglsterms_availability,"<meta name=""AGLSTERMS.availability"">",text,AGLS metadata,
m_aglsterms_category,"<meta name=""AGLSTERMS.category"">",text,AGLS metadata,
m_aglsterms_creator,"<meta name=""AGLSTERMS.creator"">",text,AGLS metadata,
m_aglsterms_date,"<meta name=""AGLSTERMS.date"">",text,AGLS metadata,
m_aglsterms_datelicensed,"<meta name=""AGLSTERMS.dateLicensed"">",text,AGLS metadata,
m_aglsterms_description,"<meta name=""AGLSTERMS.description"">",text,AGLS metadata,
m_aglsterms_documenttype,"<meta name=""AGLSTERMS.documentType"">",text,AGLS metadata,
m_aglsterms_function,"<meta name=""AGLSTERMS.function"">",text,AGLS metadata,
m_aglsterms_identifier,"<meta name=""AGLSTERMS.identifier"">",text,AGLS metadata,
m_aglsterms_isbasedon,"<meta name=""AGLSTERMS.isBasedOn"">",text,AGLS metadata,
m_aglsterms_jurisdiction,"<meta name=""AGLSTERMS.jurisdiction"">",text,AGLS metadata,
m_aglsterms_language,"<meta name=""AGLSTERMS.language"">",text,AGLS metadata,
m_aglsterms_mandate,"<meta name=""AGLSTERMS.mandate"">",text,AGLS metadata,
m_aglsterms_protectivemarking,"<meta name=""AGLSTERMS.protectiveMarking"">",text,AGLS metadata,
m_aglsterms_publisher,"<meta name=""AGLSTERMS.publisher"">",text,AGLS metadata,
